,Name,Price,Seller,Cities,Product sold,Product rating,Income
0,Mommy Seblak Basah Instant 100gr,10.0,emmoshop,Kab. Bogor,2000,4.9,20000.0
1,Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,15.0,Central Seblak Nusantara,Tangerang Selatan,1000,4.9,15000.0
2,SEBLAK INSTANT TERMURAH,3.999,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10000,4.8,39990.0
3,seblak instant sajodo snak,19.0,hikmah berkah jaya,Jakarta Barat,750,4.8,14250.0
4,SEBLAK VIRAL - SEBLAK INSTANT - SEBLAK RAFAEL - SEBLAK MAMANG RAFAEL,8.88,FARADHIFY STORE,Bekasi,100,4.8,888.0000000000001
5,SEBRING KRUPUK KERUPUK SEBLAK KERING PEDAS DAUN JERUK 1KG CABE ASLI,16.0,Aydaa Snack,Surakarta,40,4.9,640.0
6,kerupuk seblak kencur / kerupuk seblak kering - 250gram,12.0,yumnaa snack,Kab. Bekasi,30,4.9,360.0
7,"siomay kering bandung 500 gr. untuk baso aci, seblak ,mie ayam dll",14.999,aghniya,Tangerang Selatan,750,4.9,11249.25
8,GURILEM MINI 1KG Siomay Kering Toping Baso Aci Cuanki Seblak,29.999,Pedas Gilaa,Surabaya,500,4.9,14999.5
9,SEBLAK KERING PEDAS DAUN JERUK,4.5,BociKakang,Jakarta Selatan,500,4.6,2250.0
13,Seblak Instan Pedas Home Made,3.5,the Dhecip,Tangerang Selatan,1000,4.8,3500.0
15,Seblak ala Kang Rafael | Seblak Viral | Seblak Cobek,9.216,vieka mart official,Tangerang Selatan,250,5.0,2304.0
16,KERUPUK SEBLAK VIRAL RAFAEL (MENTAH) 250GR,17.5,TokokelontongSejahtera,Jakarta Barat,28,5.0,490.0
17,Kerupuk Aci Mawar | Kerupuk Mawar Putih | Seblak Rafael Viral | 250gr,7.999,Toko NRV Plastik dan Bahan Kue,Bandung,100,5.0,799.9
18,kerupuk seblak rafael 500gram,13.8,arzy sembako,Kab. Bogor,30,5.0,414.0
21,Seblak Basranger Extra Pedas 200gr,17.3,Rak Sebelah,Jakarta Pusat,250,4.9,4325.0
22,Seblak pedas kerupuk pedas kiloan 1 kg,34.0,RIKI STORE 97,Kab. Bogor,70,4.8,2380.0
23,Seblak Instan Komplit Pedas Gurih Nikmat,5.999,Baso Aci Ayang,Kab. Garut,2000,4.9,11998.0
75,kerupuk bawang spesial seblak nasi uduk 1kg 1000gr super grosir murah,17.0,Ekosistem Halal,Depok,40,5.0,680.0
76,Seblak Instan Sehati,13.0,Official Kartika Sari,Bandung,500,5.0,6500.0
